Rank,POS,AVG,Player,Team,Bye,player_id,position_group,predicted_fantasy_points,adp_rank,replacement_value,vor,rank
44,WR17,46.0,Cooper Kupp,LAR,11,00-0033908,WR,432.48709894180297,44.0,118.19999694824219,314.2871019935608,1.0
29,QB2,30.0,Josh Allen,BUF,7,00-0034857,QB,399.0114015811682,29.0,111.19999694824219,287.811404632926,2.0
63,QB8,62.2,Justin Herbert,LAC,7,00-0036355,QB,379.3693000626564,63.0,111.19999694824219,268.1693031144142,3.0
70,QB9,71.8,Tom Brady,None,None,00-0019596,QB,367.75860493153334,70.0,111.19999694824219,256.55860798329115,4.0
18,QB1,18.2,Patrick Mahomes,KC,12,00-0033873,QB,366.59070002168414,18.0,111.19999694824219,255.39070307344195,5.0
11,RB9,10.4,Jonathan Taylor,IND,14,00-0036223,RB,368.51910113438964,10.0,117.80000305175781,250.71909808263183,6.0
6,WR1,6.6,Davante Adams,LV,8,00-0031381,WR,345.74049916148186,6.0,118.19999694824219,227.54050221323968,7.0
53,QB5,54.4,Aaron Rodgers,NYJ,6,00-0023459,QB,337.9064008784294,53.0,111.19999694824219,226.7064039301872,8.0
10,RB8,10.4,Austin Ekeler,LAC,7,00-0033699,RB,336.0711009335518,10.0,117.80000305175781,218.271097881794,9.0
85,QB10,88.2,Matthew Stafford,LAR,11,00-0026498,QB,328.2148995065689,82.0,111.19999694824219,217.0149025583267,10.0
23,WR7,23.4,Justin Jefferson,MIN,7,00-0036322,WR,331.4935983535647,23.0,118.19999694824219,213.29360140532253,11.0
84,WR35,88.0,Deebo Samuel,SF,6,00-0035719,WR,329.7053988513351,81.0,118.19999694824219,211.5054019030929,12.0
55,QB7,56.0,Dak Prescott,DAL,7,00-0033077,QB,320.06609928667547,55.0,111.19999694824219,208.86610233843328,13.0
110,QB13,111.2,Joe Burrow,CIN,10,00-0036442,QB,315.8429969140887,102.0,111.19999694824219,204.6429999658465,14.0
49,TE5,50.6,Mark Andrews,BAL,8,00-0034753,TE,302.4769970321655,49.0,112.0,190.4769970321655,15.0
95,QB12,97.0,Jalen Hurts,PHI,14,00-0036389,QB,301.64690292405584,92.0,111.19999694824219,190.44690597581365,16.0
40,QB3,40.2,Kyler Murray,ARI,12,00-0035228,QB,300.5860033524036,40.0,111.19999694824219,189.38600640416144,17.0
153,QB19,157.8,Kirk Cousins,MIN,7,00-0029604,QB,296.7396003338695,139.0,111.19999694824219,185.5396033856273,18.0
13,WR2,10.6,Tyreek Hill,MIA,14,00-0033040,WR,295.43359683543446,13.0,118.19999694824219,177.23359988719227,19.0
179,K9,183.6,Daniel Carlson,LV,8,00-0034161,K,176.65150001093747,160.0,0.0,176.65150001093747,20.0
14,WR3,14.0,Stefon Diggs,BUF,7,00-0031588,WR,289.0352983996272,14.0,118.19999694824219,170.83530145138502,21.0
21,RB13,20.8,Joe Mixon,CIN,10,00-0033897,RB,288.53529802680015,21.0,117.80000305175781,170.73529497504234,22.0
92,QB11,93.4,Ryan Tannehill,TEN,13,00-0029701,QB,275.9180017125607,88.0,111.19999694824219,164.7180047643185,23.0
311,K31,295.0,Nick Folk,TEN,13,00-0025565,K,160.1740000168979,274.0,0.0,160.1740000168979,24.0
127,K2,127.8,Justin Tucker,BAL,8,00-0029597,K,156.77608339230218,116.0,0.0,156.77608339230218,25.0
242,K18,239.5,Chris Boswell,PIT,7,00-0031136,K,156.72920001141728,219.0,0.0,156.72920001141728,26.0
51,WR21,51.8,Diontae Johnson,PIT,7,00-0035216,WR,274.351802932024,51.0,118.19999694824219,156.1518059837818,27.0
152,K4,155.0,Tyler Bass,BUF,7,00-0036162,K,152.7101184721511,138.0,0.0,152.7101184721511,28.0
466,K42,430.0,Greg Joseph,MIN,7,00-0034450,K,152.2620488148108,349.0,0.0,152.2620488148108,29.0
7,TE1,8.4,Travis Kelce,KC,12,00-0030506,TE,261.7179954220355,7.0,112.0,149.71799542203547,30.0
198,K12,207.2,Matt Prater,ARI,12,00-0023853,K,148.82141074802195,182.0,0.0,148.82141074802195,31.0
181,QB25,186.4,Derek Carr,NO,6,00-0031280,QB,259.24830211907624,162.0,111.19999694824219,148.04830517083406,32.0
5,RB5,5.8,Ezekiel Elliott,NE,14,00-0033045,RB,263.70990234047173,5.0,117.80000305175781,145.90989928871392,33.0
