RK,PLAYER NAME,POS,BYE WEEK
1,Christian McCaffrey (CAR),RB1,13
2,Dalvin Cook (MIN),RB2,7
3,Alvin Kamara (NO),RB3,6
4,Davante Adams (GB),WR1,13
5,Ezekiel Elliott (DAL),RB4,7
6,Derrick Henry (TEN),RB5,13
7,Austin Ekeler (LAC),RB6,7
8,Aaron Jones (GB),RB7,13
9,Tyreek Hill (KC),WR2,12
10,Stefon Diggs (BUF),WR3,7
11,Saquon Barkley (NYG),RB8,10
12,DeAndre Hopkins (ARI),WR4,12
13,Calvin Ridley (ATL),WR5,6
14,Travis Kelce (KC),TE1,12
15,Jonathan Taylor (IND),RB9,14
16,Justin Jefferson (MIN),WR6,7
17,Nick Chubb (CLE),RB10,13
18,Antonio Gibson (WAS),RB11,9
19,Darren Waller (LV),TE2,8
20,D.K. Metcalf (SEA),WR7,9
21,A.J. Brown (TEN),WR8,13
22,Keenan Allen (LAC),WR9,7
23,Najee Harris (PIT),RB12,7
24,Joe Mixon (CIN),RB13,10
25,Allen Robinson II (CHI),WR10,10
26,Patrick Mahomes II (KC),QB1,12
27,George Kittle (SF),TE3,6
28,Terry McLaurin (WAS),WR11,9
29,Clyde Edwards-Helaire (KC),RB14,12
30,CeeDee Lamb (DAL),WR12,7
31,D'Andre Swift (DET),RB15,9
32,Robert Woods (LAR),WR13,11
33,Amari Cooper (DAL),WR14,7
34,Chris Carson (SEA),RB16,9
35,Chris Godwin (TB),WR15,9
36,David Montgomery (CHI),RB17,10
37,Cooper Kupp (LAR),WR16,11
38,Mike Evans (TB),WR17,9
39,James Robinson (JAC),RB18,7
40,Josh Allen (BUF),QB2,7
41,Tyler Lockett (SEA),WR18,9
42,D.J. Moore (CAR),WR19,13
43,Diontae Johnson (PIT),WR20,7
44,Julio Jones (TEN),WR21,13
45,Miles Sanders (PHI),RB19,14
46,Kyler Murray (ARI),QB3,12
47,Tee Higgins (CIN),WR22,10
48,Josh Jacobs (LV),RB20,8
49,Adam Thielen (MIN),WR23,7
50,Mark Andrews (BAL) ,TE4,8
51,T.J. Hockenson (DET) ,TE5,9
52,Mike Davis (ATL),RB21,6
53,Kyle Pitts (ATL),TE6,6
54,Lamar Jackson (BAL),QB4,8
55,Brandon Aiyuk (SF),WR24,6
56,Darrell Henderson (LAR),RB22,11
57,Myles Gaskin (MIA),RB23,14
58,Kareem Hunt (CLE),RB24,13
59,Gus Edwards (BAL),RB25,8
60,Dak Prescott (DAL),QB5,7
61,Chase Claypool (PIT),WR25,7
62,Jerry Jeudy (DEN) ,WR26,11
63,Odell Beckham Jr. (CLE),WR27,13
64,JuJu Smith-Schuster (PIT),WR28,7
65,Chase Edmonds (ARI),RB26,12
66,Robby Anderson (CAR),WR29,13
67,Russell Wilson (SEA),QB6,9
68,Damien Harris (NE),RB27,14
69,Tyler Boyd (CIN),WR30,10
70,Ja'Marr Chase (CIN) ,WR31,10
71,Kenny Golladay (NYG),WR32,10
72,Javonte Williams (DEN),RB28,11
73,Aaron Rodgers (GB),QB7,13
74,Courtland Sutton (DEN),WR33,11
75,Justin Herbert (LAC),QB8,7
76,Brandin Cooks (HOU),WR34,10
77,Raheem Mostert (SF),RB29,6
78,Deebo Samuel (SF),WR35,6
79,Noah Fant (DEN),TE7,11
80,Logan Thomas (WAS),TE8,9
81,Corey Davis (NYJ),WR36,6
82,Tom Brady (TB),QB9,9
83,Laviska Shenault Jr. (JAC) ,WR37,7
84,Melvin Gordon III (DEN),RB30,11
85,Antonio Brown (TB),WR38,9
86,Trey Sermon (SF),RB31,6
87,Ryan Tannehill (TEN),QB10,13
88,Will Fuller V (MIA),WR39,14
89,DeVonta Smith (PHI),WR40,14
90,D.J. Chark Jr. (JAC) ,WR41,7
91,Jalen Hurts (PHI),QB11,14
92,Jarvis Landry (CLE),WR42,13
93,Ronald Jones II (TB),RB32,9
94,Matthew Stafford (LAR),QB12,11
95,Dallas Goedert (PHI),TE9,14
96,Michael Carter (NYJ),RB33,6
97,Robert Tonyan (GB),TE10,13
98,Tyler Higbee (LAR),TE11,11
99,Kenyan Drake (LV),RB34,8
100,James Conner (ARI),RB35,12
101,Zack Moss (BUF),RB36,7
102,Curtis Samuel (WAS),WR43,9
103,Nyheim Hines (IND),RB37,14
104,Mike Williams (LAC),WR44,7
105,Joe Burrow (CIN),QB13,10
106,Jamaal Williams (DET),RB38,9
107,Mike Gesicki (MIA),TE12,14
108,Michael Gallup (DAL),WR45,7
109,Leonard Fournette (TB),RB39,9
110,Michael Pittman Jr. (IND),WR46,14
111,Marvin Jones Jr. (JAC),WR47,7
112,AJ Dillon (GB),RB40,13
113,Jonnu Smith (NE),TE13,14
114,Devin Singletary (BUF),RB41,7
115,Marquez Callaway (NO) ,WR48,6
116,Tony Pollard (DAL),RB42,7
117,Michael Thomas (NO),WR49,6
118,Matt Ryan (ATL),QB14,6
119,Jaylen Waddle (MIA),WR50,14
120,David Johnson (HOU),RB43,10
121,Darnell Mooney (CHI),WR51,10
122,Trevor Lawrence (JAC),QB15,7
123,James White (NE),RB44,14
124,Kirk Cousins (MIN),QB16,7
125,J.D. McKissic (WAS),RB45,9
126,DeVante Parker (MIA),WR52,14
127,Marquise Brown (BAL),WR53,8
128,Tua Tagovailoa (MIA),QB17,14
129,Evan Engram (NYG),TE14,10
130,Phillip Lindsay (HOU),RB46,10
131,Baker Mayfield (CLE),QB18,13
132,Hunter Henry (NE),TE15,14
133,Sony Michel (LAR),RB47,11
134,Rob Gronkowski (TB),TE16,9
135,Russell Gage (ATL),WR54,6
136,Gerald Everett (SEA),TE17,9
137,Giovani Bernard (TB),RB48,9
138,Elijah Moore (NYJ),WR55,6
139,Jakobi Meyers (NE),WR56,14
140,Mecole Hardman (KC),WR57,12
141,Cole Beasley (BUF),WR58,7
142,Ryan Fitzpatrick (WAS),QB19,9
143,Ben Roethlisberger (PIT),QB20,7
144,Henry Ruggs III (LV),WR59,8
