consensus_rank,Player,POS,Bye,Team,player_id,position_group,predicted_fantasy_points,replacement_value,vor,rank
37.0,Cooper Kupp,WR16,11,LAR,00-0033908,WR,432.48709894180297,119.0,313.48709894180297,1.0
40.0,Josh Allen,QB2,7,BUF,00-0034857,QB,399.0114015811682,118.0,281.0114015811682,2.0
75.0,Justin Herbert,QB8,7,LAC,00-0036355,QB,379.3693000626564,118.0,261.3693000626564,3.0
82.0,Tom Brady,QB9,9,TB,00-0019596,QB,367.75860493153334,118.0,249.75860493153334,4.0
26.0,Patrick Mahomes,QB1,12,KC,00-0033873,QB,366.59070002168414,118.0,248.59070002168414,5.0
15.0,Jonathan Taylor,RB9,14,IND,00-0036223,RB,368.51910113438964,120.0,248.51910113438964,6.0
4.0,Davante Adams,WR1,13,GB,00-0031381,WR,345.74049916148186,119.0,226.74049916148186,7.0
73.0,Aaron Rodgers,QB7,13,GB,00-0023459,QB,337.9064008784294,118.0,219.9064008784294,8.0
7.0,Austin Ekeler,RB6,7,LAC,00-0033699,RB,336.0711009335518,120.0,216.0711009335518,9.0
16.0,Justin Jefferson,WR6,7,MIN,00-0036322,WR,331.4935983535647,119.0,212.49359835356472,10.0
78.0,Deebo Samuel,WR35,6,SF,00-0035719,WR,329.7053988513351,119.0,210.70539885133508,11.0
94.0,Matthew Stafford,QB12,11,LAR,00-0026498,QB,328.2148995065689,118.0,210.21489950656888,12.0
60.0,Dak Prescott,QB5,7,DAL,00-0033077,QB,320.06609928667547,118.0,202.06609928667547,13.0
105.0,Joe Burrow,QB13,10,CIN,00-0036442,QB,315.8429969140887,118.0,197.8429969140887,14.0
50.0,Mark Andrews,TE4,8,BAL,00-0034753,TE,302.4769970321655,113.0,189.4769970321655,15.0
282.0,Dallas Cowboys,DST25,7,DAL,00-0090000,DST,185.5489487111171,0.0,185.5489487111171,16.0
91.0,Jalen Hurts,QB11,14,PHI,00-0036389,QB,301.64690292405584,118.0,183.64690292405584,17.0
46.0,Kyler Murray,QB3,12,ARI,00-0035228,QB,300.5860033524036,118.0,182.58600335240362,18.0
124.0,Kirk Cousins,QB16,7,MIN,00-0029604,QB,296.7396003338695,118.0,178.73960033386948,19.0
241.0,Daniel Carlson,K13,8,LV,00-0034161,K,176.65150001093747,0.0,176.65150001093747,20.0
9.0,Tyreek Hill,WR2,12,KC,00-0033040,WR,295.43359683543446,119.0,176.43359683543446,21.0
10.0,Stefon Diggs,WR3,7,BUF,00-0031588,WR,289.0352983996272,119.0,170.0352983996272,22.0
24.0,Joe Mixon,RB13,10,CIN,00-0033897,RB,288.53529802680015,120.0,168.53529802680015,23.0
394.0,Nick Folk,K35,14,NE,00-0025565,K,160.1740000168979,0.0,160.1740000168979,24.0
87.0,Ryan Tannehill,QB10,13,TEN,00-0029701,QB,275.9180017125607,118.0,157.91800171256068,25.0
178.0,Justin Tucker,K1,8,BAL,00-0029597,K,156.77608339230218,0.0,156.77608339230218,26.0
251.0,Chris Boswell,K15,7,PIT,00-0031136,K,156.72920001141728,0.0,156.72920001141728,27.0
190.0,New England Patriots,DST8,14,NE,00-0090001,DST,156.14474065571022,0.0,156.14474065571022,28.0
43.0,Diontae Johnson,WR20,7,PIT,00-0035216,WR,274.351802932024,119.0,155.351802932024,29.0
208.0,Miami Dolphins,DST12,14,MIA,00-0090002,DST,153.3376583803234,0.0,153.3376583803234,30.0
215.0,Tyler Bass,K7,7,BUF,00-0036162,K,152.7101184721511,0.0,152.7101184721511,31.0
379.0,Greg Joseph,K31,7,MIN,00-0034450,K,152.2620488148108,0.0,152.2620488148108,32.0
191.0,Buffalo Bills,DST9,7,BUF,00-0090003,DST,150.59781195354415,0.0,150.59781195354415,33.0
222.0,Matt Prater,K8,12,ARI,00-0023853,K,148.82141074802195,0.0,148.82141074802195,34.0
14.0,Travis Kelce,TE1,12,KC,00-0030506,TE,261.7179954220355,113.0,148.71799542203547,35.0
202.0,New Orleans Saints,DST11,6,NO,00-0090004,DST,147.7509951909508,0.0,147.7509951909508,36.0
255.0,Jake Elliott,K16,14,PHI,00-0033787,K,144.71249997671694,0.0,144.71249997671694,37.0
38.0,Mike Evans,WR17,9,TB,00-0031408,WR,263.2635986316204,119.0,144.26359863162043,38.0
5.0,Ezekiel Elliott,RB4,7,DAL,00-0033045,RB,263.70990234047173,120.0,143.70990234047173,39.0
266.0,Matt Gay,K19,11,LAR,00-0035269,K,142.3569999872893,0.0,142.3569999872893,40.0
22.0,Keenan Allen,WR9,7,LAC,00-0030279,WR,261.035398953706,119.0,142.03539895370602,41.0
100.0,James Conner,RB35,12,ARI,00-0033553,RB,261.85539746813475,120.0,141.85539746813475,42.0
153.0,Derek Carr,QB22,8,LV,00-0031280,QB,259.24830211907624,118.0,141.24830211907624,43.0
184.0,Harrison Butker,K2,12,KC,00-0033303,K,140.32555002817512,0.0,140.32555002817512,44.0
167.0,Tampa Bay Buccaneers,DST5,9,TB,00-0090005,DST,140.26633134024343,0.0,140.26633134024343,45.0
181.0,Indianapolis Colts,DST7,14,IND,00-0090006,DST,137.12247268735882,0.0,137.12247268735882,46.0
170.0,Carson Wentz,QB27,14,IND,00-0032950,QB,254.419100420475,118.0,136.419100420475,47.0
259.0,Dustin Hopkins,K18,9,WAS,00-0030098,K,136.10600000977516,0.0,136.10600000977516,48.0
199.0,Kansas City Chiefs,DST10,12,KC,00-0090007,DST,134.84720003283024,0.0,134.84720003283024,49.0
240.0,Hunter Renfrow,WR83,8,LV,00-0034983,WR,251.21466914956767,119.0,132.21466914956767,50.0
41.0,Tyler Lockett,WR18,9,SEA,00-0032211,WR,249.41310054451228,119.0,130.41310054451228,51.0
35.0,Chris Godwin,WR15,9,TB,00-0033921,WR,247.95870209932326,119.0,128.95870209932326,52.0
104.0,Mike Williams,WR44,7,LAC,00-0033536,WR,247.70300309062006,119.0,128.70300309062006,53.0
264.0,Arizona Cardinals,DST23,12,ARI,00-0090008,DST,128.5361622850753,0.0,128.5361622850753,54.0
20.0,DK Metcalf,WR7,9,SEA,00-0035640,WR,247.1554998537898,119.0,128.1554998537898,55.0
67.0,Russell Wilson,QB6,9,SEA,00-0029263,QB,244.11739999473096,118.0,126.11739999473096,56.0
213.0,Denver Broncos,DST14,11,DEN,00-0090012,DST,125.86233327134202,0.0,125.86233327134202,57.0
238.0,Minnesota Vikings,DST19,7,MIN,00-0090009,DST,125.72666664863625,0.0,125.72666664863625,58.0
196.0,Greg Zuerlein,K4,7,DAL,00-0029621,K,124.85891391940332,0.0,124.85891391940332,59.0
187.0,Younghoe Koo,K3,6,ATL,00-0033702,K,124.69571130685948,0.0,124.69571130685948,60.0
283.0,Graham Gano,K22,10,NYG,00-0026858,K,124.30199997212738,0.0,124.30199997212738,61.0
239.0,Mason Crosby,K12,13,GB,00-0025580,K,123.35849998056888,0.0,123.35849998056888,62.0
263.0,Tennessee Titans,DST22,13,TEN,00-0090010,DST,122.22945832924296,0.0,122.22945832924296,63.0
109.0,Leonard Fournette,RB39,9,TB,00-0033856,RB,241.60490101456642,120.0,121.60490101456642,64.0
244.0,Brandon McManus,K14,11,DEN,00-0029822,K,121.09035758310195,0.0,121.09035758310195,65.0
42.0,DJ Moore,WR19,13,CAR,00-0034827,WR,239.62089868225158,119.0,120.62089868225158,66.0
154.0,Los Angeles Rams,DST1,11,LAR,00-0090011,DST,120.56438334779938,0.0,120.56438334779938,67.0
174.0,San Francisco 49ers,DST6,6,SF,00-0090013,DST,120.2149499676923,0.0,120.2149499676923,68.0
410.0,Randy Bullock,K40,-,FA,00-0029421,K,119.35740002397448,0.0,119.35740002397448,69.0
316.0,Cairo Santos,K25,10,CHI,00-0031203,K,118.05899999860674,0.0,118.05899999860674,70.0
232.0,Green Bay Packers,DST18,13,GB,00-0090014,DST,117.73799998492002,0.0,117.73799998492002,71.0
355.0,Evan McPherson,K28,10,CIN,00-0036854,K,117.61345894836872,0.0,117.61345894836872,72.0
8.0,Aaron Jones,RB7,13,GB,00-0033293,RB,236.19799996703864,120.0,116.19799996703864,73.0
203.0,Jason Sanders,K5,14,MIA,00-0034794,K,115.88412734565836,0.0,115.88412734565836,74.0
110.0,Michael Pittman,WR46,14,IND,00-0036252,WR,234.5953492184214,119.0,115.5953492184214,75.0
54.0,Lamar Jackson,QB4,8,BAL,00-0034796,QB,231.9199004393816,118.0,113.91990043938159,76.0
156.0,Pittsburgh Steelers,DST2,7,PIT,00-0090015,DST,113.52452500790358,0.0,113.52452500790358,77.0
3.0,Alvin Kamara,RB3,6,NO,00-0033906,RB,232.12610203146934,120.0,112.12610203146934,78.0
