Rank,POS,adp_rank,Player,Team,Bye,player_id,position_group,predicted_fantasy_points,replacement_value,vor,rank,average_rank
44,WR17,46.0,Cooper Kupp,LAR,11,00-0033908,WR,432.48709894180297,19.03930003941059,413.4477989023924,1.0,23.5
11,RB9,10.4,Jonathan Taylor,IND,14,00-0036223,RB,368.51910113438964,5.729900017753243,362.7892011166364,2.0,6.199999809265137
10,RB8,10.4,Austin Ekeler,LAC,7,00-0033699,RB,336.0711009335518,5.729900017753243,330.34120091579854,3.0,6.699999809265137
6,WR1,6.6,Davante Adams,LV,8,00-0031381,WR,345.74049916148186,19.03930003941059,326.7011991220713,4.0,5.299999952316284
23,WR7,23.4,Justin Jefferson,MIN,7,00-0036322,WR,331.4935983535647,19.03930003941059,312.45429831415413,5.0,14.199999809265137
84,WR35,88.0,Deebo Samuel,SF,6,00-0035719,WR,329.7053988513351,19.03930003941059,310.6660988119245,6.0,47.0
21,RB13,20.8,Joe Mixon,CIN,10,00-0033897,RB,288.53529802680015,5.729900017753243,282.8053980090469,7.0,13.899999618530273
13,WR2,10.6,Tyreek Hill,MIA,14,00-0033040,WR,295.43359683543446,19.03930003941059,276.39429679602387,8.0,9.300000190734863
14,WR3,14.0,Stefon Diggs,BUF,7,00-0031588,WR,289.0352983996272,19.03930003941059,269.9959983602166,9.0,11.5
5,RB5,5.8,Ezekiel Elliott,NE,14,00-0033045,RB,263.70990234047173,5.729900017753243,257.98000232271846,10.0,7.900000095367432
97,RB35,100.8,James Conner,ARI,12,00-0033553,RB,261.85539746813475,5.729900017753243,256.1254974503815,11.0,55.900001525878906
51,WR21,51.8,Diontae Johnson,PIT,7,00-0035216,WR,274.351802932024,19.03930003941059,255.3125028926134,12.0,31.899999618530273
49,TE5,50.6,Mark Andrews,BAL,8,00-0034753,TE,302.4769970321655,52.656399241387845,249.82059779077767,13.0,31.799999237060547
35,WR13,35.4,Mike Evans,TB,9,00-0031408,WR,263.2635986316204,19.03930003941059,244.22429859220983,14.0,24.700000762939453
27,WR9,27.4,Keenan Allen,LAC,7,00-0030279,WR,261.035398953706,19.03930003941059,241.99609891429543,15.0,21.199999809265137
82,RB31,86.4,Leonard Fournette,BUF,7,00-0033856,RB,241.60490101456642,5.729900017753243,235.87500099681318,16.0,51.20000076293945
262,WR85,260.8,Hunter Renfrow,LV,8,00-0034983,WR,251.21466914956767,19.03930003941059,232.17536911015708,17.0,138.89999389648438
8,RB6,9.4,Aaron Jones,GB,13,00-0033293,RB,236.19799996703864,5.729900017753243,230.4680999492854,18.0,13.699999809265137
47,WR19,49.2,Tyler Lockett,SEA,9,00-0032211,WR,249.41310054451228,19.03930003941059,230.37380050510168,19.0,34.10000038146973
42,WR16,42.4,Chris Godwin,TB,9,00-0033921,WR,247.95870209932326,19.03930003941059,228.91940205991267,20.0,31.200000762939453
120,WR50,123.0,Mike Williams,LAC,7,00-0033536,WR,247.70300309062006,19.03930003941059,228.66370305120947,21.0,72.0
20,WR6,18.8,DK Metcalf,SEA,9,00-0035640,WR,247.1554998537898,19.03930003941059,228.1161998143792,22.0,20.399999618530273
3,RB3,3.0,Alvin Kamara,NO,6,00-0033906,RB,232.12610203146934,5.729900017753243,226.3962020137161,23.0,13.0
264,RB74,248.3,Cordarrelle Patterson,ATL,6,00-0030578,RB,230.25566691090663,5.729900017753243,224.5257668931534,24.0,136.1500015258789
17,RB12,17.6,Antonio Gibson,WAS,9,00-0036328,RB,228.8916007426381,5.729900017753243,223.16170072488487,25.0,21.300000190734863
36,RB18,36.4,Josh Jacobs,LV,8,00-0035700,RB,226.64420071274043,5.729900017753243,220.9143006949872,26.0,31.200000762939453
52,WR22,53.4,DJ Moore,CHI,10,00-0034827,WR,239.62089868225158,19.03930003941059,220.581598642841,27.0,40.20000076293945
102,WR43,106.4,Michael Pittman,IND,14,00-0036252,WR,234.5953492184214,19.03930003941059,215.5560491790108,28.0,67.20000076293945
7,TE1,8.4,Travis Kelce,KC,12,00-0030506,TE,261.7179954220355,52.656399241387845,209.06159618064763,29.0,18.699999809265137
71,RB29,72.0,Damien Harris,BUF,7,00-0035657,RB,214.20684747971595,5.729900017753243,208.4769474619627,30.0,51.0
90,WR38,92.8,Brandin Cooks,DAL,7,00-0031236,WR,224.92450089097022,19.03930003941059,205.88520085155963,31.0,61.900001525878906
122,WR51,123.2,Marquise Brown,ARI,12,00-0035662,WR,222.43729982733726,19.03930003941059,203.39799978792666,32.0,77.5999984741211
